Title,URL,Address,Compensation,Employment Type,Description
Architectural Job Captain/Project Architect,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architectural-job-captain/6863661391.html,Downtown,Commensurate with experience,full-time,"
        
Architect with Bachelor's Degree and 3+ years of field and office experience in school, housing, and other building renovation projects. Work includes field investigation, rehabilitation design, construction documents, and construction administration. CAD, report writing skills, and ability to communicate effectively and to work independently a must. Competitive salaries and fringe benefits including medical/dental coverage and 401K Plan.    "
CAD MEP Designer,https://newyork.craigslist.org/que/egr/d/astoria-cad-mep-designer/6862207634.html,,Compensation based on experience,full-time,"
        
We are a full-service MEP engineering firm providing services for various residential and commercial projects. We are looking to for qualified CAD designers to expand our team.
Duties include but are not limited to the following:
The CAD designer shall be responsible for producing construction plans and other technical drawings for required MEP projects. Job tasks consist of setting up drawings per company standards, drafting redlines in coordination with engineers, back-checking work for completeness and accuracy.

Qualifications and Skills
•	Proficient in drafting/designing MEP projects using AutoCAD.

Employment Type: Full Time, Part Time 

Required experience:
•	MEP Design
•	AutoCad

    "
MEP Design Engineer,https://newyork.craigslist.org/que/egr/d/astoria-mep-design-engineer/6862214791.html,,Compensation based on experience,full-time,"
        
We are a full-service MEP engineering firm providing services for various residential and commercial projects. We are looking to expand our team of experienced mechanical and electrical engineers.
Duties include but are not limited to the following:

•	Design and review HVAC, electrical, fire alarm, plumbing, and sprinkler systems for various projects using AutoCad.
•	Perform calculations and estimate sizes of systems for projects of all sizes.
•	Prepare plans and specifications.
•	Conduct field surveys and site evaluations.
•	Review applicable design standard requirements, codes and regulations as they relate to the project.

Qualifications:
•	Proficient in AutoCad
•	Strong communication, analytical, and interpersonal skills
•	MEP engineering design experience
•	Preferably multi-disciplinary and has strong knowledge of Mechanical, Electrical, and Plumbing systems
•	Ability to quickly assess building systems and equipments
•	Capable of time management and continued organization
•	Ability to multitask and work effectively in a team or individual situations
•	Excellent communication and presentation skills

Required experience:
•	MEP Design
•	AutoCad

    "
Entry Level Landscape Designer - Part time,https://newyork.craigslist.org/mnh/egr/d/new-york-city-entry-level-landscape/6862271758.html,"Queens Plaza, LIC",Commensurate on experience,part-time,"
        
The Organic Gardener (tog-nyc.com) is a unique landscape design-build firm based in New York City specializing in high end residential landscape and commercial design and build.  

We have an immediate opening for an Entry Level Landscape Designer.  We are looking for an enthusiastic individual who is interested in the design-build practice to join to our team.  Position will start on as a part-time position on an hourly basis (approx. 20 hr/week) with the potential to turn into a full-time position. 

As a small firm, the chosen individual will gain experience in seeing projects from concept to final product with participation in all design phases, client presentation, construction administration and support.  All applicants should be highly motivated and have a detail oriented approach in their execution of tasks.

 The ideal candidate should have:

- A driven work ethic with the ability to follow direction as well as take initiative.
- Interest and/or experience in detailing and construction documentation.
- Strong oral and written communication skills.
- Excellent graphic skills, including digital and hand graphics.
- The ability to manage multiple tasks simultaneously.
- Willingness to maintain flexibility in work locations 
     (primarily LIC, Brooklyn, and in sites throughout NYC metro)
- An organized and thorough approach to work.
- Experience in 3D rendering is a plus.

Preferred qualifications:
A degree in Architecture or Landscape Architecture from an accredited program.
High proficiency in AutoCAD, Adobe Creative Suite, and Microsoft Office. 


We ask qualified applicants to send a resume, cover letter, and portfolio pages in a single PDF document no larger than 5MB to jobs@tog-nyc.com.   

    "
Project Manager/Assistant Project Manager Wanted,https://newyork.craigslist.org/mnh/egr/d/new-york-city-project-manager-assistant/6862290419.html,NYC/NJ,Salary is commensurate with experience.,full-time,"
        
Position reports to the Senior Project Manager and is responsible for delivering capital construction projects on time, within budget and scope, with the highest level of attention to safety and quality. 

Project Manager’s responsibilities will include, but may not be limited to: 

Familiarity managing budget status of projects throughout the project life-cycle, proactively identifying any potential issues and recommending corrective action, as needed.

Proven experience with creating, implementing and managing project schedules collaboratively, as needed, throughout the project life-cycle, proactively identifying any potential issues and recommending corrective action, as needed.

Competence to coordinate and supervise activities of in-house staff throughout the project life-cycle to achieve project goals.

Competence to review contract documents for constructability; review pre-bid estimates.

Competence to coordinate the assembly of the bid package for submission to Procurement; evaluate bid proposals; research bidder qualifications and compliance with bid requirements; meet with bidders as necessary; recommend contractors for contract award(s).

Competence to coordinate with external agencies, such as Dept. of Buildings and Dept. of Environmental Protection.

Organize and maintain project records as required by outlined policies and protocols.

Visit construction sites regularly to ensure project objectives are achieved.

Competence to ensure timely review and processing of Requests for Information (RFI), submittals (shop drawings, material samples, etc.), requests for payments,change orders, time extensions, schedule of values, progress schedules and other project correspondence.

Maintain familiarity with applicable building codes and governmental regulations.

Ensure timely review of and follow-up of reports, including but not limited to, field inspection reports, Safety and 

Construction Quality reports, special inspections, FOIL requests and audit findings.

Effectively manage closeout of projects, including full documentation of project and final payments.

Ensure contractor compliance with HUD’s Section 3 and NYCHA’s Resident Employment Program requirements.

Perform other tasks as assigned by the Senior Project Manager; which may include additional duties in the absence of a supervisor.

Additional Qualifications: BS in (AEC) Archecture, Engineering or Construction-Related Disciplines

Project Manager: Minimum 5 years experience with onsite construction operations, renovations and/or new construction. 

Assistant Project Manager: Minimum 3 - 5 years experience with onsite construction operations, renovations and/or new construction.
    "
Quality Assurance - Architectural,https://newyork.craigslist.org/mnh/egr/d/new-york-city-quality-assurance/6862317686.html,Midtown West,Competitive Salary - DOE,full-time,"
        
SBLM Architecture seeks a Quality Assurance person responsible for ensuring construction drawings are of the highest quality and consistency through monitoring the progress of the project from inception to completion. 

Responsibilities:
Reviews drawings for errors, inconsistencies and quality
Marks up drawings with corrections and changes for the team
Meets with project team to explain errors, corrections and changes
Assists project manager in coordinating architectural drawings with consultant drawings
Provides assistance to AutoCad manager with training for drafters when necessary
Checks drawing specifications for consistency and accuracy

Qualifications:
College degree, specialized training and work experience.
Demonstrated leadership skills including self-direction.
Ability to quickly grasp technical concepts and develop the appropriate approach.
Strong understanding of various quality assurance technologies 

Requirements:
Minimum of 5 years demonstrated experience 
Proficiency in AutoCAD
Knowledge of building codes, accessibility codes and local laws
Knowledge of building design, materials and construction methods
Understands Structural, Mechanical, MEP and other consultant’s drawings 
Ability to communicate with clarity
Must be able to engage multiple teams effectively and drive quality best practices

Compensation and Benefits:
• We offer a competitive salary and benefits package commensurate with experience, and a creative, innovative work environment. 
• Our benefits include Medical/Dental/Vision, 401K Plan, Personal Time Off, Paid Holidays, Long term Disability, Flexible Spending Plan 
• Company Culture: learning and growth opportunities, rewarding projects, free educational ongoing learning

Please submit cover letter and resume 

    "
Mechanical Designers,https://newyork.craigslist.org/mnh/egr/d/new-york-city-mechanical-designers/6855260114.html,,Above Market,full-time,"
        
Mechanical Designers are sought to join an ambitious, well-funded interdisciplinary research group based in New York City.  These hires will work on the mechanical design and construction of new generations of our custom-built ANTON® supercomputer, collaborating with our team on all phases of system development, from concept to delivery.  This is a limited-term position with an anticipated 12-month contract.

Successful candidates will have expertise in sheet metal and machined part design, including hands-on prototyping and testing of chassis and enclosures, and modeling and drafting in SolidWorks and/or PTC Creo (Pro/Engineer).  They should have a demonstrated ability to design complex, rack-based electronic packaging systems with integrated power and cooling.  Other relevant experience might include plastics design and injection molding, creating assembly drawings, and resolution of DFM/DFA issues.  Excellent analytical and communication skills are required.

We take great pride in the caliber of our team, and we offer above-market compensation to candidates of exceptional ability.

Our research effort is aimed at achieving major scientific advances in the field of biochemistry and fundamentally transforming the process of drug discovery.

To submit an application, please use the link provided below:


D. E. Shaw Research is a New York-based interdisciplinary research group pursuing an ambitious, long-term project aimed at achieving major scientific advances in the fields of biochemistry and molecular biology.  Among the group's current activities is the development of specialized supercomputers designed in part to fundamentally transform the process of drug discovery.

D. E. Shaw Research is an equal opportunity employer, dedicated to the goal of building a diverse workforce. We welcome inquiries from all exceptionally well-qualified applicants, regardless of race, color, nationality, national or ethnic origin, religion or religious belief, caste, gender, gender identity, pregnancy, caregiver status, age, military service eligibility, veteran status, sexual orientation, marital or civil partner status, disability, or status in any other category protected in this regard by law in any jurisdiction in which the Firm operates.
    "
Junior Architect,https://newyork.craigslist.org/mnh/egr/d/new-york-city-junior-architect/6855382685.html,Midtown West,commensurate with experience,full-time,"
        
Building Studio Architects is a ten person design-oriented partnership located in the garment district with a diverse portfolio of project types. We are seeking a motivated, self-directed, proactive person who is capable of creatively and carefully solving architectural problems. Our ideal candidate is very organized, able to work on multiple projects at once and is an excellent communicator.

If you would like to be challenged by different project types and have meaningful responsibility, we encourage you to apply. You will participate in all phases of projects from schematic design, through construction documents and construction administration. You should be self-motivated, and able to work both individually and in a team environment. 

Requirements: 

-AUTOCAD 2D and REVIT proficiency 
-experience producing construction documents, detailing and millwork
-3D modeling, rendering, and Photoshop experience
-Design skills in both contemporary and traditional modes
-Bachelor's Degree in an architecture/design related field
-1-3 Years of full-time architectural experience in the tristate area beyond an internship level 
-Experience in applying New York City zoning codes and rules a plus

Our work requires attention to detail, therefore, we will only respond to qualified applications that follow all instructions. Please apply directly through this site. No phone calls.

Apply with:

-brief cover letter in the body of your email
-resume of related experience as a pdf attachment
-design portfolio, including 3D modeling 
-Professional work samples including construction documents and details

Additional information: 

You must be legal to work in the US [We do not sponsor visa requests] 
All interviews will take place in person
Benefits include health insurance (including dental and vision), Simple IRA, paid vacation and holidays    "
Corporate Facilities Manager,https://newyork.craigslist.org/mnh/egr/d/new-york-city-corporate-facilities/6855384275.html,"New York, NY",BOE,full-time,"
        

      
      



    


Corner Table Restaurants is looking for Facilities Manager to join our team. 
 

- Manage preventive maintenance of facility equipment in all restaurant locations across New York, Washington DC, and Chicago (opening in the spring). 
- Oversee construction level projects within operational restaurants, managing scope, schedule, budget, and execution.
- Ensure that all required insurance certificates and statutory worker's compensation are in place prior to commencing work. 
- Assist construction team on restaurant turnover during the completion of new construction build outs. 
- Create and maintain facilities systems for tracking all assets, preventative maintenance, work orders and construction projects. 
- Hire, direct, and motivate maintenance staff in planning and executing work procedures. . 
- Inspect all properties on a regular basis to ensure the work conforms to specifications, budget,and initiate any repair or replacement needs and/or adjustment of working procedures.  
 -Work closely with vendor partners on contractual commitments and ensure correct level of service is received.  
 -Maintain appropriate procedures for service calls.  


- You are confident in building and leading a strong team. 
-  You exemplify the highest standards of honesty and integrity. 
- You are willing to go above and beyond to please guests. 
- You are highly confident in your abilities and are detail-oriented. 
-  You are a team player and have excellent communication skills.  
-  You genuinely get joy out of making people happy and are able to have fun while working. 
-  You have a love and passion for the hospitality industry.   


- A positive, supportive, and inclusive work environment. 
-  Competitive salary and company incentives. 
-  Comprehensive benefits plans for full time employees, including medical, dental, vision and life insurance.  
-  Dining program. 
- Bring a friend to work bonus.  
- A great environment to work in surrounded by talented, hardworking, passionate, and fun people. 
- Tremendous Growth Opportunities.    "
Refrigeration Engineer (HVAC),https://newyork.craigslist.org/mnh/egr/d/refrigeration-engineer-hvac/6855391297.html,TriBeCa,Very competitive,full-time,"
        



- A passionate, innovative and energetic engineering company looking for a mechanical engineer with excellent grasp and understanding of refrigeration cycle to work in development of new equipment.
- Candidate MUST have theoretical understanding and knowledge of refrigeration.
- Candidate MUST have prior experience in product design, troubleshooting or as support engineer.
A great opportunity for growth from bottom up.


BS or MS in Mechanical Engineering (HVAC)


Must have 5-8 years refrigeration (HVAC) engineering experience. 


- Run refrigeration cycle calculations
- Research technologies.
- Work as part of the team designing new HVAC equipment.
- Analyze existing equipment
- Build and test prototype 


- Excellent understanding of mechanical systems (HVAC)
- Proficient in Energy Modeling
- Proficient in Cooling/Heating Load Calculations (residential, offices, hospitality)
- Proficient in Excel
- Comfortable with AutoCAD, Fusion 360
- Excellent with computers (Mac and PC) and learning new software
- Engineering creativity


Excellent compensation and full benefits.

, a boutique engineering firm that specializes in cost and energy optimization of MEP systems is looking for great talent. An ideal person is motivated, focused, energetic and passionate about engineering and efficiency in design. Candidate will work in a small office environment closely with expert engineers and will be directly involved with many domestic and international projects. A great opportunity to apply your experience as well as learn and grow as an engineer.

Please send your  to info@vesolutions.com
    "
Mechanical (HVAC) Engineer,https://newyork.craigslist.org/mnh/egr/d/mechanical-hvac-engineer/6855393614.html,TriBeCa,Very competitive,full-time,"
        
An industry innovator, VE Solutions Group is a boutique engineering firm with a specialized focus on optimization of mechanical system design and providing advisory services to developers and property owners. This unique role in the design process provides an opportunity to dedicate more time, thought and effort to each project which yields more efficient and cost-effective systems.

Our firm is growing based-on our reputation for technical expertise and excellent client service. As part of this growth, we are looking to add an Energy Modeling - HVAC Mechanical Engineer to our staff.

This position will report directly to a Principal and will involve a variety of general functions, including but not limited to:









BS or MS in Mechanical Engineering (HVAC)


3-5 years experience in building energy modeling using DOE-2, EQuest or EnergyPlus, design experience is a plus





VE Solutions Group offers offers a competitive compensation and benefits package and an exciting company culture where we foster learning and growth.

Please send your resume and cover letter to info@vesolutions.com    "
ESTIMATOR - DRYWALL & ACOUSTICAL,https://newyork.craigslist.org/mnh/egr/d/new-york-city-estimator-drywall/6855400637.html,Midtown,based on experience with tremendous potential including equity,full-time,"
        
Ronsco is a full-service union carpentry contracting company seeking a  to join our Estimating team at our New York City office. ()







• Must be proficient in Microsoft Office - Word, Excel & Outlook
• Experience with On Center Software (On Screen Take-Off and Quick Bid) and/or Planswift
• Demonstrates high attention to detail 
• Ability to manage work load and deadlines





*Conveniently located two blocks from Penn Station for easy commuting.





We are an Equal Opportunity Employer with a highly motivated professional staff and take pride in striving to achieve employee growth and satisfaction through continuous training programs and job safety management.



    "
ESTIMATOR - DRYWALL & CEILINGS,https://newyork.craigslist.org/brk/egr/d/brooklyn-estimator-drywall-ceilings/6855428751.html,,Salary will be commensurate with experience.,full-time,"
        
We are a Brooklyn based commercial union drywall & acoustical contractor seeking candidates to become part of our estimating team. We are looking to hire at both junior & senior levels.

Responsibilities include:
1) Preliminary review of bid documents for each project.
2) Communication with general contractors regarding PFl's & questions.
3) Completing quantity take offs using On Screen Take Off + Quick Bid.
4) Gathering & understanding of supplier & specialty item pricing.
5) Completing scope review plus site visits with clients
6) Analysis of drawing revisions
7) Organizational skills which allow you to meet deadlines & multi task.

Salary will be commensurate with experience.
Full Medical, Dental and Vision included.

401K matching and participation.

All inquiries are confidential

Job Type: Full-time    "
ESTIMATOR - PLUMBING COMPANY,https://newyork.craigslist.org/brk/egr/d/brooklyn-estimator-plumbing-company/6855440028.html,BROOKLYN,TBD,full-time,"
        
A Union Plumbing company is looking for a junior Estimator. This is a full-time position.

Qualifications:

- 2+ YEARS OF EXPERIENCE IN PLUMBING, FIRE SUPPRESSION, AND MEP ESTIMATING
- ABILITY TO DO TAKEOFFS FROM PLUMBING AND FIRE SUPPRESSION DRAWINGS
- KNOWLEDGE OF BUILDING CODE AND INDUSTRY STANDARDS
- EXPERIENCE WORKING WITH THE NYCSCA, NYCHA AND DDC IS A PLUS
- PERFORM BUYOUTS OF MATERIALS AND SERVICES 
- EXCELLENT COMMUNICATION AND COMPUTER SKILLS
    "
PLUMBING CAD DESIGNER/DRAFTER,https://newyork.craigslist.org/brk/egr/d/brooklyn-plumbing-cad-designer-drafter/6855444635.html,BROOKLYN,TBD COMPETITIVE,full-time,"
        
A PLUMBING company based in Brooklyn is looking for a CAD designer with a minimum of 5 years’ experience in drafting plumbing and sprinkler shop, as-built, and coordination drawings in 2D/3D. The candidate must have knowledge of plumbing standards and understanding of NYC Building Code. Compensation and benefits based on experience.  

Responsibilities include:

• Create 2D and 3D models using AutoCAD MEP
• Prepare Plumbing Shops, As-Builts and Coordination drawings  
• Clash detection and coordinating with other trades
    "
Expediting for NJ architectural office for NYC work,https://newyork.craigslist.org/mnh/egr/d/hillside-expediting-for-nj/6855466857.html,"Hillside, NJ",Based on level of experience,full-time,"
        
This position is responsible for running the expediting portion of a architectural office. Most projects are based in Manhattan. The right candidate must have a Class one Expeditor's ID. They need to be familiar with all aspects of filing Alt 1, 2 applications with the NYC Department of Building, Landmarks, ECB, DOT and MTA.    "
CONSTRUCTION ESTIMATOR,https://newyork.craigslist.org/stn/egr/d/howard-beach-construction-estimator/6855507019.html,"WEST BRIGHTON, STATEN ISLAND",As per experience.,full-time,"
        
CONSTRUCTION ESTIMATOR - Minimum of 5 yrs. experience.  Busy construction office. Must be able to read blueprints, specifications and related documents.  Computer literate and good customer service skills.    "
Jewelry Manufacturing company looking to fill various positions,https://newyork.craigslist.org/jsy/egr/d/jersey-city-jewelry-manufacturing/6855622154.html,"Union City, NJ",35k-85k,full-time,"
        
20 years in the industry, jewelry manufacturing company in Union City, NJ, expanding operations is looking to fill various positions:

Master Jewelers/ Experienced Jewelers 
Experienced Diamonds Setters/ Color Stone Setters 
Laser Engravers/ Laser Soldering

Engineers with experience in jewelry production with manufacturing knowledge of CNC machine, metal treatments

CAD designer with understanding jewelry design
Jewelry Production Manager
Microsoft Navision (NAV) programmer with some IT experience
Accountant and office manager with experience in MS Navision (NAV) 

Salaries will depend on experience.
Please include your title in the subject line upon reply with your resume.

    "
